Painting ID,Location,Location Type,Rack,Artist,Title,Height,Width,Depth,Dimension
1966.50.1,"Nasher Museum Building, Nasher Painting Storage Room, Wall Screen, 27, Textile Roll # 25",Wall Screen, 27,Spanish,"Stenciled Leather Rug or Wall Covering, 18th century",152.01,88.5,,152 x 88 1/2 inches (386.1 x 224.8 cm)
1967.2.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 10B",Screen, 10B,attributed to Nicolaes Berchem,"Pastoral Scene, 17th century",30.12,41.73,,30 1/8 x 41 3/4 inches (76.5 x 106 cm)
1969.10.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 25B",Screen, 25B,George Benjamin Luks,"Miss Francis Lord Seymour, c. 1915",35.98,25.98,,sight: 36 x 26 inches (91.4 x 66 cm)
1969.14.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 54A",Screen, 54A,"Paul Jenkins, American, 1923 - 2012","Phenomena Above Hanks' Mirror, 1969",72.01,60.0,,72 x 60 inches (182.9 x 152.4 cm)
1971.4.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 25B",Screen, 25B,Francis Bicknell Carpenter,"Henry Ward Beecher, 1858",34.02,27.01,,34 x 27 inches (86.4 x 68.6 cm)
1971.5.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Screen, 52A,Barbara Thompson,"Plowed Field and Trees, 1970",21.26,15.51,,Sight: 21 1/4 x 15 1/2 inches (54 x 39.4 cm)
1971.12.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 11A",Screen, 11A,Pier Francesco Mola,"Filosofo con Giovane (Philosopher with Student), c. 1650–1660",37.05,53.07,,37 1/16 x 53 1/16 inches (94.1 x 134.8 cm)
1971.46.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Screen, 52A,Robert Broderson,Child Peering Through Arms,23.5,17.52,,23 1/2 x 17 1/2 inches (59.7 x 44.5 cm)
1971.49.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 59A",Screen, 59A,Leonard Baskin,"Profile Portrait of a Turbaned Man, 1961",26.5,40.0,,26 1/2 x 40 inches (67.3 x 101.6 cm)
1971.57.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 54B",Screen, 54B,Hobson Pittman,"The Painter, 20th century",15.39,11.38,,15 3/8 x 11 3/8 inches (39.1 x 28.9 cm)
1971.58.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 19B",Screen, 19B,Ernest Lawson,"Mother and Child, 1897",27.52,21.5,,27 1/2 x 21 1/2 inches (69.9 x 54.6 cm)
1972.25.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 23B",Screen, 23B,John James Masquerier,"Amy Joan Greatorex, 1809",35.51,27.99,,35 1/2 x 28 inches (90.2 x 71.1 cm)
1972.26.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 23B",Screen, 23B,John James Masquerier,"Elizabeth Jane Hinchliffe, 1805",35.51,27.99,,"approx.: 35 1/2 x 28 inches (90.2 x 71.1 cm)
Frame: 43 x 35 x 4 1/2 inches (109.2 x 88.9 x 11.4 cm)"
1972.30.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Screen, 52A,Rudy Pozzatti,"Palozzo Florence, 1955",9.17,13.11,,"plate: 9 3/16 x 13 1/8 inches (23.3 x 33.3 cm)
sheet: 13 x 17 7/8 inches (33 x 45.4 cm)"
1972.32.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 02B",Screen, 02B,Silvia Heyden,"Omega, 1972",68.5,49.02,,68 1/2 × 49 inches (174 × 124.5 cm)
1972.42.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 61A",Screen, 61A,"Raimondo Puccinelli, American, 1904 - 1986","Seated Woman, n.d.",,,,
1973.1.690,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 58B",Screen, 58B,Paracas,"Shawl with Emboridered Border, 700–200 BCE",73.5,17.52,,73 1/2 x 17 1/2 inches (186.7 x 44.5 cm)
1973.1.695,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 05B",Screen, 05B,Tiahuanaco,"Poncho Panel, 700–1000",77.99,32.52,,78 x 32 1/2 inches (198.1 x 82.6 cm)
1973.1.701,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 58B",Screen, 58B,Tiahuanaco,"Feather Poncho, 700–1000",77.99,30.51,,78 x 30 1/2 inches (198.1 x 77.5 cm)
1973.1.702,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,Tiahuanaco,"Pouch, reds, green, blue, and yellow, 700–1000",19.02,9.02,,".A:19 x 9 inches (48.3 x 22.9 cm)
.B:"
1973.1.706,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,Peruvian,"Shaped Bag, 1476–1534",20.98,14.25,,21 x 14 1/4 inches (53.3 x 36.2 cm)
1973.1.711,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 50B",Screen, 50B,Inca,"Panel: red and yellow feathers motif, 1438–1532",43.74,32.99,,"43 3/4 × 33 inches (111.1 × 83.8 cm)
Mount: 49 × 40 inches (124.5 × 101.6 cm)"
1973.1.717,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,"Peruvian, South Coast","Carrying Cloth, before 1533",19.02,20.0,,"19 x 20 inches (48.3 x 50.8 cm)
mounted: 32 1/2 x 30 1/2 inches (82.6 x 77.5 cm)"
1973.1.718,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,Nazca,"Cocoa Pouch with Tassel, 200 BCE–700 CE",24.02,9.25,,".A: 24 x 9 1/4 inches (61 x 23.5 cm)
.B:"
1973.1.720,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,Nazca,"Cocoa Pouch with Tassel, 200 BCE–700 CE",22.01,7.99,,".A: 22 x 8 inches (55.9 x 20.3 cm)
.B:"
1973.1.727.4,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28A",Screen, 28A,Nazca,"Pouch, 200 BCE–700 CE",,,,
1973.1.735,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 50B",Screen, 50B,Chimú,"Sleeved Poncho, 1000–1470",57.01,16.5,,57 x 16 1/2 inches (144.8 x 41.9 cm)
1973.1.738,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,Peruvian,"Loincloth tie end, 1100–1476",15.98,29.49,,16 x 29 1/2 inches (40.6 x 74.9 cm)
1973.1.739,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,Chancay,"Complete Breech Cloth with Bird Pattern, 1000–1470",58.5,15.0,,58 1/2 x 15 inches (148.6 x 38.1 cm)
1973.1.740,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28A",Screen, 28A,Chimú,"Small Tunic, 1100–1534",13.5,14.49,,"13 1/2 x 14 1/2 inches (34.3 x 36.8 cm)
mounted: 16 x 16 inches (40.6 x 40.6 cm)"
1973.1.751,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,"Peruvian, Central Coast","Backstrap Loom, before 1533",25.0,,,25 inches (63.5 cm)
1973.1.752,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 58B",Screen, 58B,Chancay,"Cloth on Loom with Weaving Tools, 1000–1470",62.52,12.99,,62 1/2 x 13 inches (158.8 x 33 cm)
1973.1.753,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 54A",Screen, 54A,Chancay,"Fish Pattern Textile on a Loom, 1000–1470",27.52,19.49,,27 1/2 x 19 1/2 inches (69.9 x 49.5 cm)
1973.1.788,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,Chancay,"Pouch, strap, black, browns, 1000–1470",9.02,7.99,,9 x 8 inches (22.9 x 20.3 cm)
1973.1.791.A,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,Chancay or Chimú,"Pouch, 1000–1470",16.14,11.81,,16 1/8 x 11 13/16 inches (41 x 30 cm)
1973.1.796,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,Chancay,"Tubular belt, birds, and frets, 1000–1470 CE",72.01,,,72 inches (182.9 cm)
1973.1.808,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,Chancay,"Cloth Fragment: Fisherman on Boat, 1000–1470",14.02,17.01,,14 x 17 inches (35.6 x 43.2 cm)
1973.1.811,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,"Peruvian, Central Coast","Panel, 1460–1532",5.51,11.73,,5 1/2 x 11 3/4 inches (14 x 29.8 cm)
1973.1.823,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,"Chancay (Peru, central coast)","Panel, double cloth, birds and cats, brown, 1000–1470",32.99,4.49,,33 x 4 1/2 inches (83.8 x 11.4 cm)
1973.1.854,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28A",Screen, 28A,Chancay,"Textile Fragment on a Loom, 1000–1470",14.02,19.02,,14 x 19 inches (35.6 x 48.3 cm)
1973.25.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 59A",Screen, 59A,Kyohei Inukai,"T.R.F. VI, 1970",37.99,37.99,,Sheet: 38 x 38 inches (96.5 x 96.5 cm)
1973.26.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 59A",Screen, 59A,Kyohei Inukai,"T.R.F. VII, 1970",37.99,37.99,,Sheet: 38 x 38 inches (96.5 x 96.5 cm)
1973.48.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63J, Textile Roll # 18",Screen, 63J,Mopti peoples,Tapestry Weave Blanket,90.98,47.01,,91 x 47 inches (231.1 x 119.4 cm)
1973.80.6,"Nasher Museum Building, Nasher Painting Storage Room, Wall Screen, 18",Wall Screen, 18,Mossi peoples,Mask,55.98,,,Height: 56 inches (142.2 cm)
1974.38.2,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 56B",Screen, 56B,Walter Benoldi,"Still life, 20th century",35.51,27.76,,35 1/2 x 27 3/4 inches (90.2 x 70.5 cm)
1974.38.4,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 61A",Screen, 61A,Giuseppe Cesetti,"Horses, 20th century",24.02,20.0,,24 x 20 inches (61 x 50.8 cm)
1974.38.7,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 56B",Screen, 56B,Roberto Melli,"Italian Family, 20th century",20.0,25.0,,20 x 25 inches (50.8 x 63.5 cm)
1974.38.8,"Nasher Museum Building, Nasher Painting Storage Room",,,Sante Monachesi,"Study, 20th century",11.73,15.98,,11 3/4 x 16 inches (29.8 x 40.6 cm)
1974.38.11,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 54A",Screen, 54A,Giovanni Stradone,"Nude, 20th century",11.5,7.52,,11 1/2 x 7 1/2 inches (29.2 x 19.1 cm)
1975.4.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,"Peruvian, Ica Valley, South Coast","Burial Mask, 600–400 BCE",,,,
